overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_6	EVERY PLANT IN THE GRASS IS SET FORMALLY GROWS PERFECTLY AND MAY BE REALIZED COMPLETELY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_7	EACH WILL THEREFORE SERVE ABOUT EQUALLY WELL DURING THE EARLIER STAGES OF SOCIAL GROWTH
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_8	WE ARE TRAVELING REPLIED OJO AND WE STOPPED AT YOUR HOUSE JUST TO REST AND REFRESH OURSELVES
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_9	I HEARD FATHER TELL COUSIN ABNER THAT HE WAS WHIPPED SO OFTEN FOR WHISTLING WHEN HE WAS A BOY THAT HE WAS DETERMINED TO HAVE WHAT COMPENSATION HE COULD GET NOW
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_10	THIS DISTINCTION IS VITAL TO THE UNDERSTANDING OF MEMORY BUT IT IS NOT SO EASY TO CARRY OUT IN PRACTICE AS IT IS TO DRAW IN THEORY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_11	IT MAY BE THAT A GREAT COLORIST WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HIS FULL POWER OF VOICE BUT LOUD OR LOW THE VIRTUE IS IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUDNESS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_12	AND SHE TOOK ANDERS HAND AND WALKED WITH HIM UP THE BROAD MARBLE STAIRS WHERE SOLDIERS WERE POSTED AT EVERY THIRD STEP AND THROUGH THE MAGNIFICENT HALLS WHERE COURTIERS IN SILK AND VELVET STOOD BOWING WHEREVER HE WENT
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_13	IT WOULD SEEM THAT ONLY RATHER RECENT EVENTS CAN BE PLACED AT ALL ACCURATELY BY MEANS OF FEELINGS GIVING THEIR TEMPORAL RELATION TO THE PRESENT BUT IT IS CLEAR THAT SUCH FEELINGS MUST PLAY AN ESSENTIAL PART IN THE PROCESS OF DATING REMEMBERED EVENTS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_14	WHY AN EAR A WHIRLPOOL FIERCE TO DRAW CREATIONS IN
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_15	WHETHER OR NOT THIS PRINCIPLE IS LIABLE TO EXCEPTIONS EVERYONE WOULD AGREE THAT IS HAS A BROAD MEASURE OF TRUTH THOUGH THE WORD EXACTLY MIGHT SEEM AN OVERSTATEMENT AND IT MIGHT SEEM MORE CORRECT TO SAY THAT IDEAS APPROXIMATELY REPRESENT IMPRESSIONS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_16	GOLD IS THE MOST COMMON METAL IN THE LAND OF OZ AND IS USED FOR MANY PURPOSES BECAUSE IT IS SOFT AND PLIABLE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_17	THOUGH I MAY BE BUT AN UNGRACIOUS ADVISER YOU WILL ALLOW ME THEREFORE TO SUBSCRIBE MYSELF WITH THE BEST WISHES FOR YOUR HAPPINESS HERE AND HEREAFTER YOUR TRUE FRIEND ROBERT SOUTHEY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_18	REMEMBERING HAS TO BE A PRESENT OCCURRENCE IN SOME WAY RESEMBLING OR RELATED TO WHAT IS REMEMBERED
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_19	OJO HAD NEVER EATEN SUCH A FINE MEAL IN ALL HIS LIFE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_20	SHE POURED INTO THE DISH A QUANTITY FROM EACH OF THESE BOTTLES
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_21	AND SAYS THOU MOTHER OF MY CHILDREN I HAVE LOVED THEE AND I HAVE GIVEN THEE A CROWN THAT NONE CAN TAKE AWAY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_22	NAY I RATHER THRILLED DISTRUSTING EVERY LIGHT THAT SEEMED TO GILD THE ONWARD PATH AND FEARED TO OVERLEAN A FINGER EVEN
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_23	DELIA CAME TO THE PARLOR AND WITH AN AIR OF GREAT MYSTERY BECKONED THE CHILDREN ASIDE AND SAID TO THEM IN A WHISPER LEAVE ANDELLA AND ROSALIE HERE AND DON'T SAY A WORD TO THEM
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_24	O LIFE OF THIS OUR SPRING
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_25	I WILL PRACTICE IT
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_26	BUT OBSERVE YOU CAN ONLY DO THIS ON ONE CONDITION THAT OF STRIVING ALSO TO CREATE IN REALITY THE BEAUTY WHICH YOU SEEK IN IMAGINATION
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_27	I THINK THE NEXT GLASS CAT THE MAGICIAN MAKES WILL HAVE NEITHER BRAINS NOR HEART FOR THEN IT WILL NOT OBJECT TO CATCHING MICE AND MAY PROVE OF SOME USE TO US
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_28	HE KNOWS THEM BOTH
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_29	THE CONSUMPTION OF LUXURIES IN THE TRUE SENSE IS A CONSUMPTION DIRECTED TO THE COMFORT OF THE CONSUMER HIMSELF AND IS THEREFORE A MARK OF THE MASTER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_30	A GRAMOPHONE BY THE HELP OF SUITABLE RECORDS MIGHT RELATE TO US THE INCIDENTS OF ITS PAST AND PEOPLE ARE NOT SO DIFFERENT FROM GRAMOPHONES AS THEY LIKE TO BELIEVE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_31	IT MUST REMEMBER BE ONE OR THE OTHER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_32	BUT IT IS NOT WITH A VIEW TO DISTINCTION THAT YOU SHOULD CULTIVATE THIS TALENT IF YOU CONSULT YOUR OWN HAPPINESS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_33	LIKE THE DOVES VOICE LIKE TRANSIENT DAY LIKE MUSIC IN THE AIR AH
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_34	THE MOTHER AS SOON AS THE CHAISE IS SO FAR TURNED THAT MARY CAN NO LONGER WATCH THE EXPRESSION OF HER COUNTENANCE GOES AWAY FROM THE DOOR WITH A SMILE OF COMPLACENCY AND SATISFACTION UPON HER FACE AT THE INGENUITY AND SUCCESS OF HER LITTLE ARTIFICE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_35	AND LAY ME DOWN IN THY COLD BED AND LEAVE MY SHINING LOT
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_36	IS HE GOING TO START A DAILY NEWSPAPER AMONG THE KICK A POOS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_37	THE SALIENT FEATURES OF THIS DEVELOPMENT OF DOMESTIC SERVICE HAVE ALREADY BEEN INDICATED
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_38	THEY MUST HAVE SOME CHARACTERISTIC WHICH MAKES US REGARD THEM AS REFERRING TO MORE OR LESS REMOTE PORTIONS OF THE PAST
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_39	SOME POINTS MAY BE TAKEN AS FIXED AND SUCH AS ANY THEORY OF MEMORY MUST ARRIVE AT
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_40	THE CHRISTMAS HOLIDAYS CAME AND SHE AND ANNE RETURNED TO THE PARSONAGE AND TO THAT HAPPY HOME CIRCLE IN WHICH ALONE THEIR NATURES EXPANDED AMONGST ALL OTHER PEOPLE THEY SHRIVELLED UP MORE OR LESS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_41	THE SIGHT SEERS RETURNED IN HIGH SPIRITS FROM THE CITY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_42	WHENEVER THE SENSE OF FAMILIARITY OCCURS WITHOUT A DEFINITE OBJECT IT LEADS US TO SEARCH THE ENVIRONMENT UNTIL WE ARE SATISFIED THAT WE HAVE FOUND THE APPROPRIATE OBJECT WHICH LEADS US TO THE JUDGMENT THIS IS FAMILIAR
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_43	SHE WAS GONE OUT INTO THE VILLAGE ON SOME ERRAND WHEN AS SHE WAS DESCENDING THE STEEP STREET HER FOOT SLIPPED ON THE ICE AND SHE FELL IT WAS DARK AND NO ONE SAW HER MISCHANCE TILL AFTER A TIME HER GROANS ATTRACTED THE ATTENTION OF A PASSER BY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_44	DEAR ME WHAT A CHATTERBOX YOU'RE GETTING TO BE UNC REMARKED THE MAGICIAN WHO WAS PLEASED WITH THE COMPLIMENT
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_45	HE REFUSED AT FIRST TO LISTEN TO THE CAREFUL ADVICE IT WAS REPUGNANT TO HIS LIBERAL NATURE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_46	VERY CAREFULLY THE MAGICIAN REMOVED THIS POWDER PLACING IT ALL TOGETHER IN A GOLDEN DISH WHERE HE MIXED IT WITH A GOLDEN SPOON
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_47	AND THEN THERE WAS BROAD STREET
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_48	MANY OF THESE AFFILIATED GENTLEMEN OF LEISURE ARE AT THE SAME TIME LESSER MEN OF SUBSTANCE IN THEIR OWN RIGHT SO THAT SOME OF THEM ARE SCARCELY AT ALL OTHERS ONLY PARTIALLY TO BE RATED AS VICARIOUS CONSUMERS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_49	ONLY THERE ARE TWO SORTS OF CLOUD AND FIRE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_50	I AM VERY GLAD
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_51	THUS NO KNOWLEDGE AS TO THE PAST IS TO BE DERIVED FROM THE FEELING OF FAMILIARITY ALONE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_52	WHENEVER AS IN THESE CASES THE MENIAL SERVICE IN QUESTION HAS TO DO DIRECTLY WITH THE PRIMARY LEISURE EMPLOYMENTS OF FIGHTING AND HUNTING IT EASILY ACQUIRES A REFLECTED HONORIFIC CHARACTER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_53	P S PRAY SIR EXCUSE ME FOR WRITING TO YOU A SECOND TIME I COULD NOT HELP WRITING PARTLY TO TELL YOU HOW THANKFUL I AM FOR YOUR KINDNESS AND PARTLY TO LET YOU KNOW THAT YOUR ADVICE SHALL NOT BE WASTED HOWEVER SORROWFULLY AND RELUCTANTLY IT MAY BE AT FIRST FOLLOWED C B
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_54	THE WIZARD OF OZ WHO USED TO BE A HUMBUG AND KNEW NO MAGIC AT ALL HAS BEEN TAKING LESSONS OF GLINDA AND I'M TOLD HE IS GETTING TO BE A PRETTY GOOD WIZARD BUT HE IS MERELY THE ASSISTANT OF THE GREAT SORCERESS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_55	HE STILL HELD ON TO IT WITH BOTH HANDS AS HE RUSHED INTO HIS MOTHER'S COTTAGE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_56	NO I FORGOT ALL ABOUT THE BRAINS EXCLAIMED THE WOMAN
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_57	THY WAYS GREATLY TRY ME RUTH AND ALL THY RELATIONS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_58	THE CUSTOM OF FESTIVE GATHERINGS PROBABLY ORIGINATED IN MOTIVES OF CONVIVIALITY AND RELIGION THESE MOTIVES ARE ALSO PRESENT IN THE LATER DEVELOPMENT BUT THEY DO NOT CONTINUE TO BE THE SOLE MOTIVES
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_59	I AM NOT GOOD ENOUGH FOR YOU AND YOU MUST BE KEPT FROM THE CONTAMINATION OF TOO INTIMATE SOCIETY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_60	BUT FIRST I WILL TELL YOU THAT FOR MANY YEARS I HAVE LONGED FOR A SERVANT TO HELP ME WITH THE HOUSEWORK AND TO COOK THE MEALS AND WASH THE DISHES
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_61	WELL THEN LAST HERE IS TURNER'S GREEK SCHOOL OF THE HIGHEST CLASS AND YOU DEFINE HIS ART ABSOLUTELY AS FIRST THE DISPLAYING INTENSELY AND WITH THE STERNEST INTELLECT OF NATURAL FORM AS IT IS AND THEN THE ENVELOPMENT OF IT WITH CLOUD AND FIRE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_62	THE WEARERS OF UNIFORMS AND LIVERIES MAY BE ROUGHLY DIVIDED INTO TWO CLASSES THE FREE AND THE SERVILE OR THE NOBLE AND THE IGNOBLE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_63	THE TWO YOUNG MEN WHO WERE BY THIS TIME FULL OF THE ADVENTURE WENT DOWN TO THE WALL STREET OFFICE OF HENRY'S UNCLE AND HAD A TALK WITH THAT WILY OPERATOR
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_64	LIVES NOT ALONE NOR OR ITSELF FEAR NOT AND I WILL CALL THE WEAK WORM FROM ITS LOWLY BED AND THOU SHALT HEAR ITS VOICE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_65	THE LAW OF THAT SCHOOL IS THAT EVERYTHING SHALL BE SEEN CLEARLY OR AT LEAST ONLY IN SUCH MIST OR FAINTNESS AS SHALL BE DELIGHTFUL AND I HAVE NO DOUBT THAT THE BEST INTRODUCTION TO IT WOULD BE THE ELEMENTARY PRACTICE OF PAINTING EVERY STUDY ON A GOLDEN GROUND
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_66	OJO BECAME A BIT UNEASY AT THIS FOR HE HAD ALREADY PUT QUITE A LOT OF THE CLEVERNESS POWDER IN THE DISH BUT HE DARED NOT INTERFERE AND SO HE COMFORTED HIMSELF WITH THE THOUGHT THAT ONE CANNOT HAVE TOO MUCH CLEVERNESS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_67	HER FEEBLE HEALTH GAVE HER HER YIELDING MANNER FOR SHE COULD NEVER OPPOSE ANY ONE WITHOUT GATHERING UP ALL HER STRENGTH FOR THE STRUGGLE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_68	TO GIVE AN IDEA OF THESE CONVERSATIONS I WILL REPORT ONE OF THEM IN FULL
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_69	TABBY HAD LIVED WITH THEM FOR TEN OR TWELVE YEARS AND WAS AS CHARLOTTE EXPRESSED IT ONE OF THE FAMILY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_70	HE SELECTED A SMALL GOLD BOTTLE WITH A PEPPER BOX TOP SO THAT THE POWDER MIGHT BE SPRINKLED ON ANY OBJECT THROUGH THE SMALL HOLES
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_71	THAT IS A VERY FINE CAP YOU HAVE HE SAID
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_72	MANY OF THESE AGAIN AND ALSO MANY OF THE OTHER ARISTOCRACY OF LESS DEGREE HAVE IN TURN ATTACHED TO THEIR PERSONS A MORE OR LESS COMPREHENSIVE GROUP OF VICARIOUS CONSUMER IN THE PERSONS OF THEIR WIVES AND CHILDREN THEIR SERVANTS RETAINERS ET CETERA
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_73	UNDER THE TABU CERTAIN VICTUALS AND MORE PARTICULARLY CERTAIN BEVERAGES ARE STRICTLY RESERVED FOR THE USE OF THE SUPERIOR CLASS
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_74	WHY FADES THE LOTUS OF THE WATER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_75	YOU WILL SAY THAT A WOMAN HAS NO NEED OF SUCH A CAUTION THERE CAN BE NO PERIL IN IT FOR HER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_76	I SIT BENEATH THY LOOKS AS CHILDREN DO IN THE NOON SUN WITH SOULS THAT TREMBLE THROUGH THEIR HAPPY EYELIDS FROM AN UNAVERRED YET PRODIGAL INWARD JOY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_77	THE LILLY OF THE VALLEY BREATHING IN THE HUMBLE GRASS ANSWERD THE LOVELY MAID AND SAID I AM A WATRY WEED AND I AM VERY SMALL AND LOVE TO DWELL IN LOWLY VALES SO WEAK THE GILDED BUTTERFLY SCARCE PERCHES ON MY HEAD YET I AM VISITED FROM HEAVEN AND HE THAT SMILES ON ALL WALKS IN THE VALLEY AND EACH MORN OVER ME SPREADS HIS HAND SAYING REJOICE THOU HUMBLE GRASS THOU NEW BORN LILY FLOWER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_78	HE WELL KNEW THE PERILS OF THE FRONTIER THE SAVAGE STATE OF SOCIETY THE LURKING INDIANS AND THE DANGERS OF FEVER
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_79	IF YOU DRESSED IN SILK AND GOLD FROM TOP TO TOE YOU COULD NOT LOOK ANY NICER THAN IN YOUR LITTLE RED CAP
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_80	NOW YOU WILL SEE IN THESE STUDIES THAT THE MOMENT THE WHITE IS INCLOSED PROPERLY AND HARMONIZED WITH THE OTHER HUES IT BECOMES SOMEHOW MORE PRECIOUS AND PEARLY THAN THE WHITE PAPER AND THAT I AM NOT AFRAID TO LEAVE A WHOLE FIELD OF UNTREATED WHITE PAPER ALL ROUND IT BEING SURE THAT EVEN THE LITTLE DIAMONDS IN THE ROUND WINDOW WILL TELL AS JEWELS IF THEY ARE GRADATED JUSTLY
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_81	NO MY LITTLE SON SHE SAID
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_82	MOTHER I'M GOING TO STUDY MEDICINE
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_83	THE WOMAN SEEMED THOUGHTFUL
overlap_ratio_30.0_sil0.1_1.0_session8_actual29.7_utterance_84	WITH A FURTHER ADVANCE IN CULTURE THIS TABU MAY CHANGE INTO SIMPLE CUSTOM OF A MORE OR LESS RIGOROUS CHARACTER BUT WHATEVER BE THE THEORETICAL BASIS OF THE DISTINCTION WHICH IS MAINTAINED WHETHER IT BE A TABU OR A LARGER CONVENTIONALITY THE FEATURES OF THE CONVENTIONAL SCHEME OF CONSUMPTION DO NOT CHANGE EASILY
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_0	A GOLDEN FORTUNE AND A HAPPY LIFE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_1	AND SO ON TILL YOU GET TO THE END WHEN OPHELIA MIGHT SAY AH YES OR SOMETHING NON COMMITTAL OF THAT SORT
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_2	THE CUNNING MAN IS AFRAID THAT HIS BREATH WILL BLOW UPON HIS BROTHERS AND TAKE AWAY THEIR COURAGE TOO CONTINUED DAVID IMPROVING THE HINT HE RECEIVED THEY MUST STAND FURTHER OFF
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_3	HERE HE WAS PLACED IN THE CUSTODY OF CAPTAIN MARTIN OF THE KICKAPOO RANGERS WHO PROVED A KIND JAILER AND MATERIALLY ASSISTED IN PROTECTING HIM FROM THE DANGEROUS INTENTIONS OF THE MOB WHICH AT THAT TIME HELD LEAVENWORTH UNDER A REIGN OF TERROR
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_4	YOUR PLAY MUST BE NOT MERELY A GOOD PLAY BUT A SUCCESSFUL ONE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_5	LA VALLIERE IS QUITE A POETESS SAID TONNAY CHARENTE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_6	IT MAY BE THAT A GREAT COLORIST WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HIS FULL POWER OF VOICE BUT LOUD OR LOW THE VIRTUE IS IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUDNESS
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_7	MY TONGUE REFUSED TO ARTICULATE MY POWER OF SPEECH LEFT ME
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_8	OH I AM SPEAKING SERIOUSLY REPLIED MONTALAIS AND MY OPINION IN THIS CASE IS QUITE AS GOOD AS THE KING'S I SUPPOSE IS IT NOT LOUISE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_9	ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_10	HERE IS AN EQUALLY TYPICAL GREEK SCHOOL LANDSCAPE BY WILSON LOST WHOLLY IN GOLDEN MIST THE TREES SO SLIGHTLY DRAWN THAT YOU DON'T KNOW IF THEY ARE TREES OR TOWERS AND NO CARE FOR COLOR WHATEVER PERFECTLY DECEPTIVE AND MARVELOUS EFFECT OF SUNSHINE THROUGH THE MIST APOLLO AND THE PYTHON
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_11	TEA PLEASE MATTHEWS BUTLER IMPASSIVELY
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_12	THE SEASONS ALLIES OF SPRING FOLLOWED HIM CLOSELY TO FORM A QUADRILLE WHICH AFTER MANY WORDS OF MORE OR LESS FLATTERING IMPORT WAS THE COMMENCEMENT OF THE DANCE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_13	DO NOT THEREFORE THINK THAT THE GOTHIC SCHOOL IS AN EASY ONE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_14	IN THOSE VERY TERMS I EVEN ADDED MORE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_15	MY FIRST AND PRINCIPAL REASON WAS THAT THEY ENFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHO MIGHT ATTEMPT TO COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUE SIDE BY SIDE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_16	THE HEAD AND CHIEF OF THE RIOT THE NOTTINGHAM APPRENTICE WITH CLENCHED FISTS THREATENED MONTFICHET
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_17	IN OTHER WORDS WHILE HE HAD IMPLICIT FAITH IN THE ABILITY OF BALAAM'S ASS TO SPEAK HE WAS SOMEWHAT SKEPTICAL ON THE SUBJECT OF A BEAR'S SINGING AND YET HE HAD BEEN ASSURED OF THE LATTER ON THE TESTIMONY OF HIS OWN EXQUISITE ORGANS
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_18	THE MOTHER AS SOON AS THE CHAISE IS SO FAR TURNED THAT MARY CAN NO LONGER WATCH THE EXPRESSION OF HER COUNTENANCE GOES AWAY FROM THE DOOR WITH A SMILE OF COMPLACENCY AND SATISFACTION UPON HER FACE AT THE INGENUITY AND SUCCESS OF HER LITTLE ARTIFICE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_19	IF YOU ARE NOT THEN KNOCKED ON THE HEAD YOUR BEING A NON COMPOSSER WILL PROTECT YOU AND YOU'LL THEN HAVE A GOOD REASON TO EXPECT TO DIE IN YOUR BED
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_20	GIVE NOT SO EARNEST A MIND TO THESE MUMMERIES CHILD
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_21	THE HAWK ALIGHTED ON THE DEAD BRANCH AND SAT UPRIGHT MOTIONLESS AS IF SURPRISED
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_22	YOUR MAJESTY'S PLAN THEN IN THIS AFFAIR IS
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_23	HE DARTED LIKE AN ARROW THROUGH ALL THE HALLS DOWN ALL THE STAIRS AND ACROSS THE YARD
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_24	THE PAIN PRODUCED BY AN ACT OF HASTY AND ANGRY VIOLENCE TO WHICH A FATHER SUBJECTS HIS SON MAY SOON PASS AWAY BUT THE MEMORY OF IT DOES NOT PASS AWAY WITH THE PAIN
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_25	A STAGE MEAL IS POPULAR BECAUSE IT PROVES TO THE AUDIENCE THAT THE ACTORS EVEN WHEN CALLED CHARLES HAWTREY OR OWEN NARES ARE REAL PEOPLE JUST LIKE YOU AND ME
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_26	EXPLAIN YOURSELF
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_27	NOTHING WILL BE MORE PRECIOUS TO YOU I THINK IN THE PRACTICAL STUDY OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON YOU MORE AND MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE AND GREAT IN SPIRIT AND IN MATTER
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_28	THE SCENE IS ABSOLUTELY ARCADIAN
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_29	THAT IS A VERY FINE CAP YOU HAVE HE SAID
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_30	THE LEADERS OF THE CONSPIRACY BECAME DISTRUSTFUL OF THEIR POWER TO CRUSH THE TOWN
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_31	IT IS INDEED TRUE THAT THE IMPORTANCE OF TACT AND SKILL IN THE TRAINING OF THE YOUNG AND OF CULTIVATING THEIR REASON AND SECURING THEIR AFFECTION CAN NOT BE OVERRATED
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_32	YOU HAVE COME ANDELLA ANDELLA WAS THE NAME OF JANE'S DOLL TO MAKE ROSALIE A VISIT
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_33	SAID SHE POINTING TO THE PLAYTHINGS SEE
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_34	AND IT IS MADE OF MOTHER'S BEST YARN AND SHE KNITTED IT HERSELF AND EVERYBODY WANTS TO GET IT AWAY FROM ME
overlap_ratio_30.0_sil0.1_1.0_session9_actual29.8_utterance_35	SO IT IS SAID ANDERS
